code,name,name_en,full_name,full_name_en,code_name,district_code,center
21367,Hành Thuận,Hanh Thuan,Xã Hành Thuận,Hanh Thuan Commune,hanh_thuan,532,
21370,Hành Dũng,Hanh Dung,Xã Hành Dũng,Hanh Dung Commune,hanh_dung,532,
21373,Hành Trung,Hanh Trung,Xã Hành Trung,Hanh Trung Commune,hanh_trung,532,"15.0418838, 108.77472428276204"
21376,Hành Nhân,Hanh Nhan,Xã Hành Nhân,Hanh Nhan Commune,hanh_nhan,532,
21379,Hành Đức,Hanh Duc,Xã Hành Đức,Hanh Duc Commune,hanh_duc,532,"14.9701842, 108.8413099"
21382,Hành Minh,Hanh Minh,Xã Hành Minh,Hanh Minh Commune,hanh_minh,532,"14.9615474, 108.764963"
21385,Hành Phước,Hanh Phuoc,Xã Hành Phước,Hanh Phuoc Commune,hanh_phuoc,532,
21388,Hành Thiện,Hanh Thien,Xã Hành Thiện,Hanh Thien Commune,hanh_thien,532,
21391,Hành Thịnh,Hanh Thinh,Xã Hành Thịnh,Hanh Thinh Commune,hanh_thinh,532,
21394,Hành Tín Tây,Hanh Tin Tay,Xã Hành Tín Tây,Hanh Tin Tay Commune,hanh_tin_tay,532,
21397,Hành Tín Đông,Hanh Tin Dong,Xã Hành Tín Đông,Hanh Tin Dong Commune,hanh_tin_dong,532,
21400,Mộ Đức,Mo Duc,Thị trấn Mộ Đức,Mo Duc Township,mo_duc,533,"14.9549147, 108.865585"
21403,Đức Lợi,Duc Loi,Xã Đức Lợi,Duc Loi Commune,duc_loi,533,
21406,Đức Thắng,Duc Thang,Xã Đức Thắng,Duc Thang Commune,duc_thang,533,
21409,Đức Nhuận,Duc Nhuan,Xã Đức Nhuận,Duc Nhuan Commune,duc_nhuan,533,
21412,Đức Chánh,Duc Chanh,Xã Đức Chánh,Duc Chanh Commune,duc_chanh,533,
21415,Đức Hiệp,Duc Hiep,Xã Đức Hiệp,Duc Hiep Commune,duc_hiep,533,
21418,Đức Minh,Duc Minh,Xã Đức Minh,Duc Minh Commune,duc_minh,533,"14.986946549999999, 108.92342120450786"
