code,name,name_en,full_name,full_name_en,code_name,province_code,center
954,Bạc Liêu,Bac Lieu,Thành phố Bạc Liêu,Bac Lieu City,bac_lieu,95,"9.2824882, 105.7260685"
956,Hồng Dân,Hong Dan,Huyện Hồng Dân,Hong Dan District,hong_dan,95,"9.509955300000001, 105.4324807212819"
957,Phước Long,Phuoc Long,Huyện Phước Long,Phuoc Long District,phuoc_long,95,"9.4364984, 105.4638192"
958,Vĩnh Lợi,Vinh Loi,Huyện Vĩnh Lợi,Vinh Loi District,vinh_loi,95,"9.2824882, 105.7260685"
959,Giá Rai,Gia Rai,Thị xã Giá Rai,Gia Rai Town,gia_rai,95,"9.2376931, 105.4562528"
960,Đông Hải,Dong Hai,Huyện Đông Hải,Dong Hai District,dong_hai,95,"17.4815626, 106.6061833005214"
961,Hoà Bình,Hoa Binh,Huyện Hoà Bình,Hoa Binh District,hoa_binh,95,"9.2976233, 105.7371883"
964,Cà Mau,Ca Mau,Thành phố Cà Mau,Ca Mau City,ca_mau,96,"9.1782047, 105.1519707"
966,U Minh,U Minh,Huyện U Minh,U Minh District,u_minh,96,"9.37369485, 104.94139535552951"
967,Thới Bình,Thoi Binh,Huyện Thới Bình,Thoi Binh District,thoi_binh,96,"9.3806554, 105.1722542433858"
968,Trần Văn Thời,Tran Van Thoi,Huyện Trần Văn Thời,Tran Van Thoi District,tran_van_thoi,96,"9.1255942, 104.93817229302493"
969,Cái Nước,Cai Nuoc,Huyện Cái Nước,Cai Nuoc District,cai_nuoc,96,"9.00702305, 105.04459602705924"
970,Đầm Dơi,Dam Doi,Huyện Đầm Dơi,Dam Doi District,dam_doi,96,"8.9946933, 105.1974423"
971,Năm Căn,Nam Can,Huyện Năm Căn,Nam Can District,nam_can,96,"8.781762449999999, 104.97694777242388"
972,Phú Tân,Phu Tan,Huyện Phú Tân,Phu Tan District,phu_tan,96,"8.9157471, 104.8679995"
973,Ngọc Hiển,Ngoc Hien,Huyện Ngọc Hiển,Ngoc Hien District,ngoc_hien,96,"8.6794654, 104.95858975790725"
